Techstack,Link
"Python, Pandas, Streamlit",https://stockanalysisbymanishkumar.streamlit.app/
"React, TailwindCSS, Firebase",https://myportfolio-react.web.app
"HTML, CSS, JavaScript",https://jsproject1.example.com
"Django, PostgreSQL, Bootstrap",https://djangoblogsite.example.com
"Flask, SQLite, Jinja2",https://flaskweatherapp.example.com
"Node.js, Express.js, MongoDB",https://mynodeapi.example.com
"Angular, RxJS, SCSS",https://angularproject.example.com
"Next.js, Prisma, Tailwind",https://nextstartupsite.example.com
"Vue.js, Vuetify, Firebase",https://vueprojectdemo.example.com
"Java, Spring Boot, MySQL",https://springjobportal.example.com
"PHP, Laravel, MySQL",https://laravelcrm.example.com
"Python, OpenCV, TensorFlow",https://aivisionproject.example.com
"R, Shiny, ggplot2",https://shinydatareport.example.com
"Kotlin, Jetpack Compose, Firebase",https://androiddiaryapp.example.com
"C#, .NET Core, MSSQL",https://dotnetdashboard.example.com
